"p","r_quantile"
-0.071,0.878882991630196
-0.07,0.889750956165668
-0.069,0.869364212069839
-0.068,0.873934303481036
-0.067,0.873396169870917
-0.066,0.8773090304959
-0.065,0.879597078479595
-0.064,0.884668748746716
-0.063,0.888384469382187
-0.062,0.879715745973591
-0.0609999999999999,0.887926276138814
-0.0599999999999999,0.882939873894334
-0.0589999999999999,0.886917487856486
-0.0579999999999999,0.887897068417646
-0.0569999999999999,0.879346955570457
-0.0559999999999999,0.882014531519573
-0.0549999999999999,0.889576559438622
-0.0539999999999999,0.888707050036464
-0.0529999999999999,0.878315110866593
-0.0519999999999999,0.880505612036232
-0.0509999999999999,0.887254050101074
-0.0499999999999999,0.885675823166863
-0.0489999999999999,0.892447968640944
-0.0479999999999999,0.888743053494674
-0.0469999999999999,0.874538927603252
-0.0459999999999999,0.890221147053485
-0.0449999999999999,0.889538445536748
-0.0439999999999999,0.891906254081091
-0.0429999999999999,0.889857447881019
-0.0419999999999999,0.883414179725246
-0.0409999999999999,0.885969457490799
-0.04,0.896090171855568
-0.039,0.897414840927608
-0.038,0.890494969751223
-0.037,0.887290396728273
-0.036,0.888175290969216
-0.035,0.89094859333397
-0.034,0.889110781080818
-0.033,0.88712538916516
-0.032,0.908319779518387
-0.031,0.898240654189154
-0.03,0.893006522157327
-0.029,0.89137992600824
-0.028,0.892123866325985
-0.027,0.89527226335116
-0.026,0.901222174308134
-0.025,0.881876838068341
-0.024,0.888990943754099
-0.023,0.903043754216802
-0.022,0.896087161113221
-0.021,0.89194187384924
-0.02,0.894066640412954
-0.019,0.891579870133339
-0.018,0.899666433748135
-0.017,0.888274432201301
-0.016,0.89063114937528
-0.015,0.887803589799191
-0.014,0.889882667251518
-0.013,0.906915967501279
-0.012,0.901718804451279
-0.011,0.902480471688284
-0.01,0.903339859793114
-0.00900000000000001,0.894758690618411
-0.00800000000000001,0.900908815033132
-0.00700000000000001,0.895165768753973
-0.006,0.897921112488945
-0.005,0.900245976288874
-0.004,0.90392397769755
-0.003,0.891430443657149
-0.002,0.903461642199111
-0.001,0.901082330908537
0,0.907870069401741
0.00100000000000011,0.899851490001939
0.002,0.901341326816613
0.00300000000000011,0.902383098155918
0.004,0.896887914243162
0.00500000000000012,0.906310160145846
0.006,0.904783640540487
0.00700000000000012,0.899747362406067
0.00800000000000001,0.898572484419486
0.00900000000000012,0.899268337441176
0.01,0.902289887651116
0.0110000000000001,0.897813167876325
0.012,0.902468327740263
0.0130000000000001,0.908698540143014
0.014,0.905889726725452
0.0150000000000001,0.90028936475722
